name,season,age,state,elim,is_censored,sex,region,coast,school,agegroup
Tyson Apostol,Tocantins,29,UT,27,0,Male,West,Not Coast,Old School,Young
Sierra Reed,Tocantins,23,CA,30,0,Female,West,West Coast,Old School,Young
Debbie Beebe,Tocantins,46,AL,33,0,Female,South,Not Coast,Old School,Middle
Coach Wade,Tocantins,37,MO,36,0,Male,Midwest,Not Coast,Old School,Middle
Taj Johnson-George,Tocantins,37,TN,37,0,Female,South,Not Coast,Old School,Middle
Erinn Lobdell,Tocantins,26,WI,38,0,Female,Midwest,Not Coast,Old School,Young
Stephen Fishbach,Tocantins,29,NY,39,1,Male,Northeast,East Coast,Old School,Young
J.T. Thomas,Tocantins,24,AL,39,1,Male,South,Not Coast,Old School,Young
Marisa Calihan,Samoa,26,OH,3,0,Female,Midwest,Not Coast,New School,Young
Mike Borassi,Samoa,62,CA,5,1,Male,West,West Coast,New School,Old
Betsy Bolan,Samoa,48,NH,6,0,Female,Northeast,East Coast,New School,Middle
Ben Browning,Samoa,28,CA,8,0,Male,West,West Coast,New School,Young
Yasmin Giles,Samoa,33,CA,11,0,Female,West,West Coast,New School,Young
Ashley Trainer,Samoa,22,MN,14,0,Female,Midwest,Not Coast,New School,Young
Russell Swan,Samoa,42,PA,15,1,Male,Northeast,Not Coast,New School,Middle
Liz Kim,Samoa,33,NY,18,0,Female,Northeast,East Coast,New School,Young
Erik Cardona,Samoa,28,CA,21,0,Male,West,West Coast,New School,Young
Kelly Sharbaugh,Samoa,25,CA,24,0,Female,West,West Coast,New School,Young
Laura Morett,Samoa,39,OR,27,0,Female,West,West Coast,New School,Middle
John Fincher,Samoa,25,CA,30,0,Male,West,West Coast,New School,Young
Dave Ball,Samoa,38,CA,31,0,Male,West,West Coast,New School,Middle
Monica Padilla,Samoa,25,CA,33,0,Female,West,West Coast,New School,Young
Shambo Waters,Samoa,45,WA,36,0,Female,West,West Coast,New School,Middle
Jaison Robinson,Samoa,28,IL,37,0,Male,Midwest,Not Coast,New School,Young
Brett Clouser,Samoa,23,CA,38,0,Male,West,West Coast,New School,Young
Mick Trimming,Samoa,33,CA,39,1,Male,West,West Coast,New School,Young
