name,season,age,state,elim,is_censored,is_male
Jaison Robinson,Samoa,28,IL,37,0,1
Brett Clouser,Samoa,23,CA,38,0,1
Mick Trimming,Samoa,33,CA,39,1,1
Russell Hantz,Samoa,36,TX,39,1,1
Natalie White,Samoa,26,AR,39,1,0
Sugar Kiper,Heroes vs. Villains,30,CA,3,0,0
Stephenie LaGrossa,Heroes vs. Villains,29,PA,6,0,0
Randy Bailey,Heroes vs. Villains,50,TX,8,0,1
Cirie Fields,Heroes vs. Villains,39,NJ,11,0,0
Tom Westman,Heroes vs. Villains,45,NY,14,0,1
Tyson Apostol,Heroes vs. Villains,30,UT,15,0,1
James Clement,Heroes vs. Villains,32,LA,15,0,1
Rob Mariano,Heroes vs. Villains,33,FL,18,0,1
Coach Wade,Heroes vs. Villains,38,CA,21,0,1
Courtney Yates,Heroes vs. Villains,28,NY,24,0,0
J.T. Thomas,Heroes vs. Villains,25,AL,27,0,1
Amanda Kimmel,Heroes vs. Villains,25,CA,30,0,0
Candice Woodcock,Heroes vs. Villains,26,DC,31,0,0
Danielle DiLorenzo,Heroes vs. Villains,28,CA,33,0,0
Rupert Boneham,Heroes vs. Villains,45,IN,36,0,1
Colby Donaldson,Heroes vs. Villains,35,TX,37,0,1
Jerri Manthey,Heroes vs. Villains,38,CA,38,0,0
Russell Hantz,Heroes vs. Villains,36,TX,39,1,1
Parvati Shallow,Heroes vs. Villains,26,CA,39,1,0
Sandra Diaz-Twine,Heroes vs. Villains,35,CT,39,1,0
Wendy DeSmidt-Kohlhoff,Nicaragua,48,MT,3,0,0
Shannon Elkins,Nicaragua,30,LA,6,0,1
Jimmy Johnson,Nicaragua,67,FL,8,0,1
Jimmy Tarantino,Nicaragua,48,MA,11,0,1
Tyrone Davis,Nicaragua,42,CA,14,0,1
Kelly Bruno,Nicaragua,26,NC,15,0,0
Yve Rojas,Nicaragua,41,MO,15,0,0
Jill Behm,Nicaragua,43,PA,18,0,0
Alina Wilson,Nicaragua,23,CA,22,0,0
Marty Piombo,Nicaragua,48,CA,24,0,1
Brenda Lowe,Nicaragua,27,FL,27,0,0
NaOnka Mixon,Nicaragua,27,CA,28,1,0
Kelly Shinn,Nicaragua,20,AZ,28,1,0
Benry Henry,Nicaragua,24,CA,32,0,1
Jane Bright,Nicaragua,56,NC,36,0,0
Dan Lembo,Nicaragua,63,NY,37,0,1
Holly Hoffman,Nicaragua,44,SD,38,0,0
Sash Lenahan,Nicaragua,30,NY,39,1,1
Chase Rice,Nicaragua,24,NC,39,1,1
Fabio Birza,Nicaragua,21,CA,39,1,1
Francesca Hogi,Redemption Island,36,DC,3,0,0
Russell Hantz,Redemption Island,37,TX,8,0,1
Kristina Kell,Redemption Island,46,CA,11,0,0
Krista Klumpp,Redemption Island,25,SC,13,0,0
Stephanie Valencia,Redemption Island,26,CA,16,0,0
Sarita White,Redemption Island,36,CA,18,0,0
David Murphy,Redemption Island,31,CA,24,0,1
Julie Wolfe,Redemption Island,50,CA,27,0,0
Steve Wright,Redemption Island,51,CA,30,0,1
Ralph Kiser,Redemption Island,45,VA,30,0,1
Grant Mattos,Redemption Island,29,CA,35,0,1
Matthew Elrod,Redemption Island,22,TN,5,0,1
Mike Chiesl,Redemption Island,31,CA,22,0,1
Andrea Boehlke,Redemption Island,21,WI,32,0,0
Ashley Underwood,Redemption Island,25,ME,38,0,0
Natalie Tenerelli,Redemption Island,19,CA,39,1,0
Phillip Sheppard,Redemption Island,52,CA,39,1,1
Rob Mariano,Redemption Island,34,FL,39,1,1
Semhar Tadesse,South Pacific,24,CA,3,0,0
Mark Caruso,South Pacific,48,NY,8,0,1
Stacey Powell,South Pacific,44,TX,11,0,0
Elyse Umemoto,South Pacific,27,NV,14,0,0
Mikayla Wingle,South Pacific,22,FL,16,0,0
Christine Shields Markoski,South Pacific,39,NY,5,0,0
Jim Rice,South Pacific,35,CO,24,0,1
Keith Tollefson,South Pacific,26,CA,21,0,1
Dawn Meehan,South Pacific,41,UT,27,0,0
Whitney Duncan,South Pacific,27,TN,27,0,0
John Cochran,South Pacific,24,DC,30,0,1
Edna Ma,South Pacific,35,CA,32,0,0
Brandon Hantz,South Pacific,19,TX,35,0,1
Rick Nelson,South Pacific,51,UT,37,0,1
Ozzy Lusth,South Pacific,30,CA,38,0,1
Albert Destrade,South Pacific,26,FL,39,1,1
Coach Wade,South Pacific,39,CA,39,1,1
Sophie Clarke,South Pacific,22,NY,39,1,0
Kourtney Moon,One World,29,TX,3,1,0
Nina Acosta,One World,51,CA,5,0,0
Matt Quinlan,One World,33,CA,8,0,1
Bill Posley,One World,28,CA,11,0,1
Monica Culpepper,One World,41,FL,14,0,0
Colton Cumbie,One World,21,AL,16,1,1
Jonas Otsuji,One World,37,UT,20,0,1
Michael Jefferson,One World,30,WA,22,0,1
Jay Byars,One World,25,SC,25,0,1
Leif Manson,One World,27,CA,27,0,1
Troyzan Robertson,One World,50,FL,30,0,1
Kat Edorsson,One World,22,FL,33,0,0
Tarzan Smith,One World,64,TX,36,0,1
Alicia Rosa,One World,25,IL,37,0,0
Christina Cha,One World,29,CA,38,0,0
Chelsea Meissner,One World,26,SC,39,1,0
Sabrina Thompson,One World,33,NY,39,1,0
Kim Spradlin,One World,29,TX,39,1,0
Zane Knight,Philippines,28,VA,3,0,1
Roxanne Morris,Philippines,28,NY,6,0,0
Angie Layton,Philippines,20,UT,8,0,0
Russell Swan,Philippines,45,PA,10,0,1
Dana Lambert,Philippines,32,NC,12,1,0
Sarah Dawson,Philippines,28,MD,13,0,0
Katie Hanson,Philippines,22,DE,16,0,0
R.C. Saint-Amour,Philippines,27,NY,19,0,0
Jeff Kent,Philippines,44,TX,22,0,1
Artis Silvester,Philippines,53,LA,25,0,1
Pete Yurkowski,Philippines,24,NJ,27,0,1
Jonathan Penner,Philippines,50,CA,30,0,1
Carter Williams,Philippines,24,KS,33,0,1
Abi-Maria Gomes,Philippines,32,CA,36,0,0
Malcolm Freberg,Philippines,25,CA,38,0,1
